Timestamp,Orientation (x),Orientation (y),Orientation (z),Orientation (w),Angular Velocity (x),Angular Velocity (y),Angular Velocity (z),Linear Acceleration (x),Linear Acceleration (y),Linear Acceleration (z)
1705722451.6534412,0.0741781459707196,-0.19960527774498033,-0.1598835101740647,-0.9638944957468714,0.007698463276028633,0.10957187414169306,-0.4507974684238434,-1.8436502,-0.02941994999999879,9.87529655
1705722451.9034796,0.08221965859961038,-0.2110876246999284,-0.13000948612627555,-0.9652872504884169,-0.0028181832749396563,0.11732094734907149,-0.06599365174770357,-2.04958985,-0.2549728999999988,9.83606995
1705722452.1535037,0.08132679177660271,-0.22497918297171782,-0.14349514097698451,-0.9603017570975796,-0.002938009798526764,0.09025230258703235,0.254630982875824,-2.26533615,-0.41187929999999884,9.77723005
1705722452.4025323,0.07132016841581394,-0.23543513755902393,-0.187586848902944,-0.9509442169225109,0.0034896801225841045,0.041240680962801035,0.44882702827453613,-2.55953565,-0.41187929999999884,9.71839015
1705722452.6535583,0.05899688431790652,-0.24411528885769682,-0.24473769334677173,-0.9364990949499122,-0.01818385161459446,0.03155887126922613,0.4807773530483246,-2.91257505,-0.2647795499999988,9.5909037
1705722452.9035914,0.05127756965796072,-0.250365984369763,-0.2936887110393219,-0.9211050025532346,-0.041284430772066116,0.037975240498781246,0.3349720537662506,-3.2165812000000003,-0.03922659999999885,9.4339973
1705722453.1536162,0.050796267326996575,-0.25304224007404025,-0.31859181560021094,-0.9120792832843628,-0.042414966970682144,0.016666825860738765,0.09234002977609634,-3.4421341500000002,0.17651970000000114,9.30651085
1705722453.4036505,0.056514378824940606,-0.2523338366058982,-0.3157624270170354,-0.9129226963845789,-0.02814175933599472,0.004607453942298873,-0.13254977762699127,-3.6284605,0.34323275000000114,9.20844435
1705722453.6536784,0.06565098203021918,-0.2502370336811577,-0.2915419416093878,-0.9209096979701926,-0.009099560789763927,-0.001390386139974031,-0.269079327583313,-3.8442068000000003,0.36284605000000114,9.100571200000001
1705722453.9037123,0.0739733834174479,-0.2478192776195323,-0.2582626167471625,-0.9308136037772636,0.01572718843817711,0.0006655666511505496,-0.2822420597076416,-4.06975975,0.2451662500000011,8.9828914
1705722454.1537364,0.07800190885002796,-0.24664869448704965,-0.22969907608939252,-0.9382528753844912,0.037613462656736374,0.0018287861021235355,-0.18714772164821625,-4.24627945,0.07845320000000108,8.8848249
1705722454.4027746,0.07656601285483784,-0.2458015578121776,-0.21593155333056427,-0.9418560421470308,0.0393841452896595,-0.015794759616255764,-0.04006756469607353,-4.36395925,-0.05883989999999892,8.79656505
1705722454.6528072,0.07089303509032822,-0.24434757862565515,-0.21956572395090776,-0.9418382723490135,0.028060520067811012,-0.03715952485799788,0.09451689571142197,-4.4620257500000005,-0.15690639999999895,8.7475318
1705722454.9038484,0.06429455042876119,-0.24309838136498427,-0.23612161474992252,-0.9386245100202623,0.0017079256940633059,0.009005573578178903,0.16832275688648224,-4.5502856000000005,-0.15690639999999895,8.69849855
1705722455.153866,0.060535803814927513,-0.24653149826519358,-0.256525883745411,-0.9326050116679813,-0.01758682355284691,0.02067457139492037,0.16448497772216797,-4.6287388,-0.07845319999999893,8.6494653
1705722455.4038966,0.059462462786848,-0.2484721407860778,-0.272625045262092,-0.9275782422353105,-0.02288934402167797,0.01353673264384271,0.09922514110803604,-4.6483521,0.009806650000001058,8.63965865
1705722455.653922,0.060864562511972226,-0.24809959234212606,-0.2793980211934952,-0.9255694696040142,-0.025428101420402527,-0.0030586079228669396,0.008750448003411293,-4.6679654,0.10787315000000107,8.629852
